,Claude_Originality,Claude_Uncommon,Claude_Remote,Claude_Clever
0,4,4,4,5
1,3,2,3,3
2,2,2,2,3
3,2,2,2,3
4,3,2,3,4
5,3,2,3,4
6,3,2,3,4
7,2,2,1,2
8,2,2,1,2
9,2,2,1,2
10,2,2,1,2
11,3,2,2,3
12,3,2,2,3
13,3,2,2,3
14,2,2,2,3
15,3,2,2,3
16,3,2,2,3
17,2,2,2,2
18,2,2,2,2
19,2,2,2,2
20,2,2,2,3
21,3,2,2,3
22,2,2,2,3
23,2,2,2,3
24,2,2,2,3
25,2,2,2,3
26,3,2,2,3
27,3,3,2,4
28,2,2,2,2
29,2,2,2,2
30,2,2,2,2
31,2,1,1,2
32,2,1,1,2
33,2,1,1,2
34,3,2,2,3
35,3,2,2,3
36,2,1,1,2
37,2,2,2,3
38,1,1,1,1
39,2,2,1,2
40,2,2,1,2
41,2,2,1,2
42,2,2,2,3
43,2,2,2,3
44,2,2,2,3
45,2,2,2,3
46,4,4,4,3
47,4,4,4,3
48,4,4,4,3
49,2,2,1,3
50,2,2,1,3
51,2,2,1,3
52,2,2,1,3
53,2,2,3,2
54,2,2,3,2
55,3,4,4,2
56,2,2,2,2
57,2,2,2,2
58,2,2,1,2
59,2,2,1,2
60,2,2,1,2
61,2,2,2,3
62,2,2,2,3
63,2,1,1,2
64,3,2,3,2
65,2,2,1,2
66,2,2,1,2
67,2,2,1,2
68,2,2,1,2
69,2,1,1,2
70,2,1,1,2
71,2,1,1,2
72,3,2,3,4
73,3,2,3,4
74,3,2,3,4
75,4,3,4,4
76,4,3,4,4
77,4,3,4,4
78,2,1,1,1
79,2,1,1,1
80,1,1,1,1
81,1,1,1,1
82,2,1,1,1
83,2,1,1,1
84,2,2,2,2
85,3,2,2,3
86,3,2,2,3
87,3,3,2,3
88,3,3,2,3
89,3,3,2,3
90,4,4,4,4
91,2,2,2,3
92,2,2,2,3
93,2,1,1,2
94,2,1,1,1
95,2,2,1,2
96,2,2,1,2
97,4,4,4,3
98,4,4,4,3
99,3,2,3,3
100,3,2,3,3
101,4,4,4,5
102,4,4,4,5
103,3,2,2,3
104,3,2,2,3
105,3,3,2,2
106,3,2,2,3
107,3,2,2,3
108,3,2,2,3
109,2,2,3,1
110,2,2,1,2
111,2,2,1,2
112,3,2,3,2
113,3,2,3,2
114,2,2,2,3
115,2,2,2,3
116,2,2,1,2
117,2,2,1,2
118,3,3,4,2
119,2,2,2,2
120,2,2,2,2
121,3,2,3,2
122,3,2,3,2
123,3,2,3,2
124,3,2,3,2
125,4,4,5,5
126,4,4,5,5
127,2,2,1,2
128,2,2,1,2
129,2,2,1,2
130,4,3,3,4
131,4,4,5,3
132,4,4,5,3
133,4,4,5,3
134,2,2,1,2
135,2,2,1,2
136,2,2,1,2
137,2,2,1,2
138,2,2,1,2
139,3,2,2,3
140,2,1,1,2
141,2,1,1,2
142,2,2,1,2
143,2,2,1,2
144,3,3,4,3
145,3,3,4,3
146,3,3,4,3
147,3,2,2,3
148,3,3,2,3
149,3,3,2,3
150,3,3,2,3
151,2,2,1,2
152,2,2,1,2
153,2,2,1,2
154,3,2,3,4
155,3,2,3,4
156,2,2,2,3
157,3,3,2,4
158,2,2,1,2
159,2,2,1,2
160,2,2,2,3
161,3,2,2,3
162,2,2,1,2
163,3,2,3,2
164,3,2,2,3
165,3,2,2,3
166,3,2,2,3
167,4,4,4,5
168,3,2,3,3
169,3,2,3,3
170,3,2,3,3
171,2,2,2,3
172,2,2,2,3
173,2,2,2,3
174,2,2,2,3
175,2,2,2,3
176,2,2,2,2
177,4,4,3,4
178,3,2,2,3
179,2,1,1,1
180,2,1,1,1
181,4,4,3,4
182,4,4,3,4
183,4,3,4,4
184,2,2,1,2
185,2,2,1,2
186,3,2,2,3
187,3,2,2,3
188,3,2,2,3
189,3,2,2,3
190,3,2,2,3
191,3,2,2,3
192,3,2,2,3
193,2,2,2,2
194,2,2,2,3
195,2,2,2,2
196,2,2,2,3
197,2,2,2,3
198,2,2,2,2
199,2,2,2,2
200,2,2,2,2
201,4,3,3,4
202,4,3,3,4
203,3,2,2,3
204,3,2,2,3
205,3,2,2,3
206,3,2,2,3
207,3,2,2,3
208,3,2,2,3
209,3,2,2,3
210,2,2,2,3
211,2,2,2,3
212,2,2,2,3
213,3,2,3,3
214,3,2,3,3
215,3,2,3,3
216,2,2,1,2
217,2,2,1,2
218,2,2,1,2
219,2,2,2,2
220,2,1,1,1
221,2,2,2,2
222,2,2,2,2
223,4,4,4,5
224,2,2,2,2
225,3,2,2,2
226,2,2,2,3
227,2,1,1,2
228,3,2,2,3
229,2,1,1,2
230,2,1,1,2
231,2,2,1,2
232,4,4,4,3
233,2,2,2,3
234,2,2,1,1
235,2,2,1,1
236,2,2,1,1
237,2,2,1,2
238,2,2,2,2
239,2,2,2,2
240,2,2,2,2
241,4,4,4,4
242,2,1,1,2
243,2,1,1,2
244,2,2,2,2
245,2,2,1,3
246,2,2,1,3
247,2,2,1,3
248,2,1,1,2
249,2,1,1,2
250,2,2,1,2
251,2,2,2,2
252,2,2,2,2
253,2,2,2,2
254,2,2,1,2
255,2,2,1,2
256,3,3,2,2
257,3,3,2,2
258,3,2,2,3
259,4,4,3,4
260,4,4,3,4
261,4,4,3,4
262,4,4,3,4
263,4,4,3,4
264,3,3,2,4
265,3,3,2,4
266,2,2,2,3
267,2,2,2,3
268,4,4,4,3
269,2,2,2,3
270,2,2,2,3
271,2,2,1,2
272,3,2,2,3
273,3,2,2,3
274,3,2,2,3
275,3,2,2,3
276,2,1,1,2
277,3,2,3,4
278,2,1,1,2
279,2,1,1,2
280,2,1,1,2
281,2,1,1,2
282,2,1,1,2
283,2,1,1,2
284,4,3,4,4
285,3,2,3,3
286,2,2,1,3
287,2,2,1,3
288,2,1,1,1
289,2,1,1,1
290,2,1,1,1
291,2,1,1,1
292,4,3,4,4
293,2,2,1,2
294,2,1,1,2
295,2,1,1,2
296,1,1,1,1
297,2,2,1,2
298,2,2,1,2
299,2,1,1,2
300,2,1,1,2
301,2,2,1,2
302,4,3,3,4
303,4,3,3,4
304,4,3,3,4
305,2,2,1,2
306,2,2,1,2
307,2,2,1,2
308,2,2,2,3
309,2,1,1,2
310,2,1,1,2
311,2,1,1,2
312,2,1,1,2
313,2,1,1,2
314,2,1,1,2
315,2,1,1,2
316,2,1,1,2
317,4,3,3,4
318,4,3,3,4
319,4,4,3,4
320,2,2,1,2
321,4,4,4,3
322,3,2,2,2
323,3,2,2,2
324,3,2,2,2
325,3,2,2,2
326,3,2,2,2
327,3,2,2,2
328,4,4,4,3
329,3,2,3,2
330,3,2,3,2
331,3,2,2,3
332,3,2,2,3
333,3,2,2,3
334,2,2,2,2
335,2,2,2,2
336,2,2,2,2
337,2,2,2,2
338,2,2,2,2
339,2,2,2,2
340,2,2,2,1
341,2,2,2,1
342,2,2,2,1
343,2,2,2,3
344,2,2,2,3
345,2,2,2,3
346,2,2,2,3
347,4,3,4,3
348,2,2,1,2
349,2,2,1,2
350,2,2,2,3
351,2,2,2,3
352,2,2,2,3
353,2,2,2,3
354,2,2,2,3
355,2,2,2,3
356,2,2,2,3
357,2,2,2,2
358,3,2,2,2
359,3,2,2,2
360,3,2,2,2
361,3,2,2,2
362,3,2,2,3
363,4,4,4,3
364,4,4,4,3
365,2,1,1,2
366,2,1,1,2
367,2,1,1,2
368,2,2,2,2
369,2,2,2,2
370,4,3,3,4
371,4,3,3,4
372,2,2,2,2
373,2,2,2,2
374,2,2,1,2
375,2,2,1,2
376,5,5,5,4
377,2,2,2,3
378,2,2,2,3
379,2,1,1,2
380,2,1,1,2
381,2,1,1,2
382,2,2,2,3
383,2,2,2,3
384,2,2,2,1
385,3,2,3,2
386,2,1,1,2
387,2,2,2,2
388,3,2,2,3
389,3,2,2,3
390,2,2,2,3
391,2,2,2,3
392,2,2,2,3
393,2,2,2,3
394,2,2,2,3
395,2,2,2,3
396,2,2,1,2
397,2,2,1,2
398,2,2,1,2
399,3,2,2,3
400,3,2,2,3
401,2,2,1,2
402,2,2,1,2
403,2,1,2,2
404,3,2,2,3
405,3,2,2,3
406,1,1,1,1
407,2,2,2,2
408,2,2,2,3
409,2,2,2,3
410,2,2,1,1
411,2,2,1,1
412,2,2,1,1
413,2,2,1,1
414,2,2,1,1
