,Claude_Originality,Claude_Uncommon,Claude_Remote,Claude_Clever
0,4,4,3,4
1,4,4,3,4
2,4,4,3,4
3,3,2,2,2
4,4,3,3,4
5,4,4,4,4
6,4,4,4,4
7,2,2,2,2
8,3,2,2,3
9,4,4,3,4
10,4,4,3,4
11,2,1,1,2
12,4,3,3,4
13,4,3,3,4
14,4,3,3,4
15,4,3,3,4
16,4,3,4,4
17,4,3,4,4
18,4,3,4,4
19,3,2,2,3
20,4,3,3,4
21,2,2,1,1
22,3,2,3,2
23,3,2,3,2
24,3,2,2,3
25,3,2,2,3
26,3,2,2,3
27,3,2,2,3
28,2,2,2,3
29,2,2,2,3
30,2,2,1,2
31,2,1,1,2
32,2,1,1,2
33,2,1,1,2
34,2,1,1,2
35,2,1,1,2
36,4,3,4,4
37,1,1,1,1
38,1,1,1,1
39,1,1,1,1
40,2,2,2,3
41,4,4,4,4
42,2,1,1,2
43,2,1,1,2
44,2,2,1,2
45,2,2,1,2
46,1,1,1,1
47,1,1,1,1
48,1,1,1,1
49,2,2,1,3
50,2,2,1,3
51,4,3,3,4
52,4,3,3,4
53,2,1,1,2
54,2,1,1,2
55,3,2,2,3
56,3,2,2,3
57,1,1,1,1
58,1,1,1,1
59,1,1,1,1
60,1,1,1,1
61,4,4,4,4
62,3,2,2,3
63,2,2,1,2
64,2,2,1,2
65,2,1,1,2
66,2,1,1,2
67,2,1,1,2
68,2,2,1,2
69,1,1,1,1
70,4,3,3,4
71,1,1,1,1
72,1,1,1,1
73,1,1,1,1
74,1,1,1,1
75,4,3,3,4
76,4,3,3,4
77,4,3,3,4
78,4,3,3,4
79,4,4,4,4
80,4,4,4,4
81,1,1,1,1
82,1,1,1,1
83,1,1,1,1
84,1,1,1,1
85,4,4,4,4
86,4,4,4,4
87,3,2,3,2
88,3,2,3,2
89,3,2,3,2
90,4,4,3,4
91,4,4,4,4
92,4,4,4,4
93,4,4,4,4
94,3,2,3,3
95,4,4,4,4
96,4,4,3,4
97,4,4,4,4
98,4,4,4,4
99,4,4,4,4
100,4,4,4,4
101,4,4,4,4
102,4,4,4,4
103,4,3,3,4
104,4,3,3,4
105,2,2,2,2
106,2,2,2,2
107,2,2,2,2
108,4,4,4,4
109,4,4,4,4
110,4,4,4,4
111,2,2,1,2
112,2,2,2,2
113,2,2,2,2
114,4,4,4,4
115,4,4,4,4
116,4,4,4,4
117,4,4,4,4
118,2,2,2,2
119,2,2,1,2
120,4,4,4,4
121,4,4,4,4
122,4,4,4,4
123,4,4,5,4
124,4,3,3,4
125,4,3,3,4
126,4,3,3,4
127,2,2,2,2
128,2,2,1,2
129,2,2,2,2
130,2,2,2,2
131,4,3,4,4
132,4,4,4,4
133,2,2,1,2
134,2,2,1,2
135,2,1,1,2
136,2,1,1,2
137,2,1,1,2
138,2,1,1,2
139,3,2,2,3
140,3,2,2,3
141,3,2,2,3
142,4,4,4,4
143,4,4,4,4
144,4,4,4,4
145,4,4,4,4
146,2,2,2,2
147,2,2,2,2
148,2,2,2,2
149,2,2,2,2
150,4,4,4,4
151,4,4,4,4
152,2,2,2,2
153,4,4,4,4
154,4,4,4,4
155,4,4,4,4
156,4,4,4,4
157,4,4,4,4
158,4,4,4,4
159,3,2,3,3
160,4,3,4,4
161,4,3,4,4
162,4,4,4,4
163,4,4,4,4
164,4,4,4,5
165,4,4,4,5
166,4,4,4,5
167,3,2,3,3
168,3,2,3,3
169,3,2,3,3
170,3,2,3,3
171,2,2,2,2
172,3,2,3,4
173,4,4,4,4
174,4,4,4,4
175,4,4,4,4
176,2,2,1,2
177,2,2,1,2
178,2,2,1,2
179,3,2,2,3
180,3,2,2,3
181,3,2,2,3
182,3,2,2,3
183,4,4,3,4
184,4,3,4,4
185,4,3,4,4
186,2,2,2,2
187,2,2,2,2
188,4,4,4,4
189,2,2,1,2
190,2,2,1,2
191,3,2,2,3
192,3,2,2,3
193,3,2,2,3
194,3,2,2,3
195,3,2,3,4
196,3,2,3,4
197,3,2,3,4
198,2,2,1,2
199,2,2,1,2
200,2,2,1,2
201,2,2,1,2
202,4,3,3,4
203,4,3,3,4
204,4,3,3,4
205,4,3,3,4
206,4,3,3,4
207,2,2,2,2
208,2,2,2,2
209,2,2,2,2
210,2,2,2,2
211,2,2,2,2
212,3,2,2,3
213,3,2,2,3
214,2,2,2,2
215,2,2,2,2
216,2,1,1,2
217,2,1,1,2
218,3,2,3,3
219,3,2,3,3
220,4,4,4,4
221,4,4,4,4
222,4,4,4,4
223,4,4,4,4
224,4,4,4,4
225,4,3,4,4
226,3,2,2,3
227,2,2,1,2
228,2,2,1,2
229,2,2,1,2
230,2,2,1,2
231,2,2,1,2
232,4,3,4,4
233,2,1,1,2
234,2,1,1,2
235,2,2,1,2
236,2,2,1,2
237,2,2,1,2
238,2,2,1,2
239,2,2,1,2
240,1,1,1,1
241,1,1,1,1
242,1,1,1,1
243,1,1,1,1
244,1,1,1,1
245,2,2,2,2
246,2,2,2,2
247,2,2,2,2
248,2,2,2,2
249,2,2,1,2
250,2,2,1,2
251,4,4,4,4
252,2,2,2,2
253,2,2,2,2
254,2,2,2,2
255,2,2,2,2
256,2,2,1,2
257,2,2,1,2
258,2,2,1,2
259,2,2,2,2
260,2,2,2,2
261,3,3,2,3
262,2,1,1,2
263,4,3,3,4
264,2,1,1,2
265,2,1,1,2
266,2,1,1,2
267,2,1,1,2
268,1,1,1,1
269,1,1,1,1
270,1,1,1,1
271,1,1,1,1
272,1,1,1,1
273,1,1,1,1
274,2,2,1,2
275,2,2,2,2
276,2,2,2,2
277,2,2,2,2
278,2,2,2,2
279,4,4,4,4
280,4,4,4,4
281,2,2,1,2
282,2,2,1,2
283,2,2,1,2
284,2,2,1,2
285,2,2,1,2
286,2,2,1,2
287,1,1,1,1
288,1,1,1,1
289,1,1,1,1
290,4,3,3,4
291,2,1,1,2
292,2,1,1,2
293,2,1,1,2
294,2,1,1,2
295,2,2,1,2
296,2,2,1,2
297,2,2,1,2
298,2,2,1,2
299,2,2,1,2
300,1,1,1,1
301,1,1,1,1
302,1,1,1,1
303,4,4,4,4
304,2,2,2,2
305,4,4,4,4
306,4,4,4,4
307,4,4,4,4
