,GPT4o_Originality,GPT4o_Uncommon,GPT4o_Remote,GPT4o_Clever
0,4.0,4.0,3.0,4.0
1,3.0,3.0,3.0,4.0
2,2.0,2.0,2.0,3.0
3,2.0,2.0,2.0,3.0
4,3.0,3.0,3.0,4.0
5,3.0,3.0,3.0,4.0
6,3.0,3.0,3.0,4.0
7,2.0,2.0,2.0,2.0
8,2.0,2.0,2.0,2.0
9,2.0,2.0,2.0,2.0
10,2.0,2.0,2.0,2.0
11,3.0,3.0,3.0,4.0
12,3.0,3.0,3.0,3.0
13,3.0,3.0,3.0,3.0
14,2.0,2.0,2.0,3.0
15,2.0,2.0,2.0,3.0
16,2.0,2.0,2.0,3.0
17,3.0,3.0,3.0,3.0
18,3.0,3.0,3.0,3.0
19,3.0,3.0,3.0,3.0
20,2.0,2.0,2.0,3.0
21,3.0,3.0,3.0,4.0
22,3.0,3.0,3.0,4.0
23,2.0,2.0,2.0,3.0
24,2.0,2.0,2.0,3.0
25,2.0,2.0,2.0,3.0
26,2.0,2.0,2.0,3.0
27,3.0,3.0,3.0,4.0
28,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0
34,3.0,3.0,3.0,4.0
35,3.0,3.0,3.0,3.0
36,1.0,1.0,1.0,1.0
37,2.0,2.0,2.0,3.0
38,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0
42,2.0,2.0,2.0,3.0
43,2.0,2.0,2.0,3.0
44,2.0,2.0,2.0,3.0
45,2.0,2.0,2.0,3.0
46,3.0,3.0,3.0,3.0
47,3.0,3.0,3.0,3.0
48,3.0,3.0,2.0,3.0
49,2.0,2.0,2.0,3.0
50,2.0,2.0,2.0,3.0
51,2.0,2.0,2.0,3.0
52,2.0,2.0,2.0,3.0
53,2.0,2.0,2.0,3.0
54,2.0,2.0,2.0,3.0
55,4.0,4.0,4.0,3.0
56,2.0,2.0,2.0,3.0
57,2.0,2.0,2.0,3.0
58,2.0,2.0,2.0,3.0
59,2.0,2.0,2.0,2.0
60,2.0,2.0,2.0,2.0
61,2.0,2.0,2.0,3.0
62,2.0,2.0,2.0,3.0
63,2.0,2.0,2.0,2.0
64,3.0,3.0,3.0,3.0
65,2.0,2.0,2.0,2.0
66,2.0,2.0,2.0,2.0
67,2.0,2.0,2.0,3.0
68,2.0,2.0,2.0,3.0
69,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0
71,1.0,1.0,1.0,1.0
72,3.0,3.0,3.0,4.0
73,3.0,3.0,3.0,4.0
74,3.0,3.0,3.0,4.0
75,4.0,4.0,3.0,4.0
76,4.0,4.0,3.0,4.0
77,4.0,4.0,3.0,4.0
78,1.0,1.0,1.0,1.0
79,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0
81,1.0,1.0,1.0,1.0
82,2.0,2.0,2.0,2.0
83,2.0,2.0,2.0,2.0
