,GPT4o_Originality,GPT4o_Uncommon,GPT4o_Remote,GPT4o_Clever
0,4,4,3,4
1,4,4,3,4
2,4,4,3,4
3,3,3,3,3
4,3,3,3,4
5,4,4,4,4
6,4,4,4,4
7,2,2,2,2
8,2,2,2,2
9,4,4,3,4
10,4,4,3,4
11,1,1,1,1
12,3,3,3,4
13,3,3,3,4
14,3,3,3,4
15,3,3,3,4
16,4,4,4,4
17,4,4,4,4
18,4,4,3,4
19,2,2,2,2
20,3,3,3,4
21,2,2,2,2
22,4,4,4,3
23,4,4,4,3
24,2,2,2,2
25,2,2,2,3
26,3,3,3,4
27,3,3,3,4
28,2,2,2,2
29,2,2,2,2
30,2,2,2,2
31,2,2,2,2
32,2,2,2,2
33,2,2,2,2
34,2,2,2,3
35,2,2,2,2
36,4,4,3,4
37,1,1,1,1
38,1,1,1,1
39,1,1,1,1
40,2,2,2,3
41,4,4,4,4
42,1,1,1,1
43,1,1,1,1
44,2,2,2,3
45,2,2,2,3
46,1,1,1,1
47,1,1,1,1
48,1,1,1,1
49,2,2,2,3
50,2,2,2,3
51,2,2,2,2
52,2,2,2,2
53,1,1,1,1
54,1,1,1,1
55,2,2,2,3
56,2,2,2,2
57,1,1,1,1
58,1,1,1,1
59,1,1,1,1
60,1,1,1,1
61,4,4,4,4
62,2,2,2,2
63,2,2,2,2
64,2,2,2,3
65,2,2,2,2
66,2,2,2,2
67,2,2,2,2
68,2,2,2,2
69,1,1,1,1
70,2,2,2,2
71,1,1,1,1
72,1,1,1,1
73,1,1,1,1
74,1,1,1,1
75,4,4,3,4
76,4,4,3,4
77,4,4,3,4
78,4,4,3,4
79,4,4,4,4
80,4,4,4,4
81,1,1,1,1
82,1,1,1,1
83,1,1,1,1
84,1,1,1,1
85,4,4,4,4
86,4,4,4,4
87,2,2,2,2
88,2,2,2,2
89,2,2,2,2
90,4,4,4,4
91,4,4,4,4
92,4,4,4,4
93,4,4,4,4
94,2,2,2,2
95,4,4,4,4
96,4,4,3,4
97,4,4,3,4
98,4,4,3,4
99,4,4,3,4
100,4,4,3,4
101,4,4,3,4
102,4,4,4,4
103,4,4,3,4
104,4,4,3,4
105,2,2,2,2
106,2,2,2,2
107,2,2,2,2
108,4,4,4,4
109,4,4,4,4
110,4,4,4,4
111,2,2,2,2
112,2,2,2,2
113,2,2,2,2
114,4,4,4,4
115,4,4,4,4
116,4,4,4,4
117,4,4,4,4
118,2,2,2,2
119,2,2,2,2
120,4,4,4,4
121,4,4,4,4
122,4,4,4,4
123,4,4,4,4
124,4,4,4,4
125,4,4,4,4
126,4,4,4,4
127,2,2,2,2
128,2,2,2,2
129,2,2,2,2
130,2,2,2,2
131,2,2,2,2
132,4,4,4,4
133,2,2,2,2
134,2,2,2,2
135,2,2,2,2
136,2,2,2,2
137,2,2,2,2
138,2,2,2,2
139,2,2,2,2
140,4,4,3,4
141,4,4,3,4
142,3,3,3,3
143,4,4,4,4
144,4,4,4,4
145,4,4,4,4
146,2,2,2,2
147,2,2,2,2
148,2,2,2,2
149,2,2,2,2
150,4,4,4,4
151,4,4,4,4
152,2,2,2,2
153,4,4,3,4
154,4,4,3,4
155,4,4,4,4
156,4,4,4,4
157,4,4,4,4
158,4,4,4,4
159,2,2,2,3
160,4,4,4,4
161,4,4,4,4
162,4,4,4,4
163,4,4,4,4
164,4,4,4,4
165,4,4,4,4
166,4,4,4,4
167,2,2,2,2
168,2,2,2,2
169,2,2,2,2
170,2,2,2,2
171,2,2,2,2
172,4,4,3,4
173,4,4,4,4
174,4,4,4,4
175,4,4,4,4
176,2,2,2,2
177,2,2,2,2
178,2,2,2,2
179,2,2,2,2
180,2,2,2,3
181,2,2,2,2
182,2,2,2,2
183,4,4,3,4
184,4,4,3,4
185,4,4,3,4
186,2,2,2,2
187,2,2,2,2
188,4,4,4,4
189,2,2,2,2
190,2,2,2,2
191,3,3,3,3
192,3,3,3,3
193,3,3,3,3
194,3,3,3,3
195,3,3,3,4
196,4,4,3,4
197,3,3,3,4
198,1,1,1,1
199,1,1,1,1
200,2,2,2,2
201,1,1,1,1
202,2,2,2,2
203,2,2,2,2
204,2,2,2,2
205,2,2,2,2
206,2,2,2,2
207,2,2,2,2
208,2,2,2,2
209,2,2,2,2
210,2,2,2,2
211,2,2,2,2
212,4,4,3,4
213,4,4,3,4
214,2,2,2,2
215,2,2,2,2
216,1,1,1,1
217,2,2,2,2
218,3,3,3,3
219,3,3,3,3
220,4,4,4,4
221,4,4,4,4
222,4,4,4,4
223,4,4,4,4
224,4,4,4,4
225,4,4,3,4
226,2,2,2,2
227,2,2,2,3
228,2,2,2,3
229,2,2,2,3
230,2,2,2,2
231,2,2,2,2
232,4,4,4,4
233,2,2,2,2
234,1,1,1,1
235,2,2,2,2
236,2,2,2,2
237,2,2,2,2
238,2,2,2,2
239,2,2,2,2
240,1,1,1,1
241,1,1,1,1
242,1,1,1,1
243,1,1,1,1
244,1,1,1,1
245,2,2,2,3
246,2,2,2,3
247,2,2,2,3
248,2,2,2,3
249,2,2,2,2
250,2,2,2,2
251,4,4,4,4
252,2,2,2,2
253,2,2,2,2
254,2,2,2,2
255,2,2,2,2
256,2,2,2,2
257,2,2,2,2
258,2,2,2,2
259,2,2,2,2
260,2,2,2,2
261,2,2,2,2
262,1,1,1,1
263,2,2,2,2
264,1,1,1,1
265,1,1,1,1
266,1,1,1,1
267,1,1,1,1
268,1,1,1,1
269,1,1,1,1
270,1,1,1,1
271,1,1,1,1
272,1,1,1,1
273,1,1,1,1
274,2,2,2,2
275,1,1,1,1
276,2,2,2,2
277,2,2,2,2
278,2,2,2,2
279,4,4,4,4
280,4,4,4,4
281,2,2,2,2
282,2,2,2,2
283,2,2,2,2
284,2,2,2,2
285,1,1,1,1
286,1,1,1,1
287,1,1,1,1
288,1,1,1,1
289,1,1,1,1
290,4,4,4,4
291,2,2,2,2
292,2,2,2,2
293,2,2,2,2
294,2,2,2,2
295,2,2,2,2
296,2,2,2,2
297,2,2,2,2
298,2,2,2,2
299,2,2,2,2
300,1,1,1,1
301,1,1,1,1
302,1,1,1,1
303,4,4,4,4
304,2,2,2,2
305,4,4,4,4
306,4,4,4,4
307,4,4,4,4
